#### 0738.923968 autosave nr 1
1,1558680737.904653,"[-0.6828674999999997, 1.4152425, 0.9193274999999997]"
2,1558680737.944917,"[-0.22786749999999978, 0.6102425, -2.0206725000000003]"
3,1558680737.984875,"[-0.15786749999999977, 0.4352425000000001, 1.1643275]"
4,1558680738.026278,"[-0.26286749999999975, 0.5402425000000001, -0.4806725000000002]"
5,1558680738.06496,"[-0.33286749999999976, 0.47024250000000006, -1.0406725000000001]"
6,1558680738.104864,"[-0.12286749999999977, 0.12024250000000003, 1.6893274999999999]"
7,1558680738.144915,"[-0.15786749999999977, 0.47024250000000006, -1.3206725000000001]"
8,1558680738.184857,"[-0.26286749999999975, 0.4352425000000001, 0.11432749999999978]"
9,1558680738.226831,"[-0.08786749999999977, 0.40024250000000006, 0.8493274999999998]"
10,1558680738.26496,"[-0.22786749999999978, 0.2952425000000001, -1.7406725]"
11,1558680738.30486,"[-0.3678674999999998, 9.4652425, 1.1993274999999999]"
12,1558680738.344917,"[-0.19286749999999978, 0.4352425000000001, 0.25432749999999976]"
13,1558680738.384894,"[-0.2978674999999998, 9.3602425, -1.8106725000000001]"
14,1558680738.428479,"[-0.15786749999999977, 0.6452425, 2.0393274999999997]"
15,1558680738.464892,"[-0.15786749999999977, 0.2952425000000001, -1.6006725000000002]"
16,1558680738.504864,"[-0.33286749999999976, 0.47024250000000006, -0.13067250000000025]"
17,1558680738.544918,"[-0.19286749999999978, 0.33024250000000005, 0.5343274999999997]"
18,1558680738.584927,"[-0.22786749999999978, 0.3652425000000001, -1.6006725000000002]"
19,1558680738.624912,"[-0.19286749999999978, 0.4352425000000001, 1.6543275]"
20,1558680738.668466,"[-0.19286749999999978, 0.4352425000000001, -1.2506725]"
21,1558680738.704862,"[-0.12286749999999977, 0.9602425000000001, -0.6906725000000002]"
22,1558680738.744868,"[-0.22786749999999978, 0.6452425, 1.6893274999999999]"
23,1558680738.784878,"[-0.12286749999999977, 0.26024250000000004, -1.9156725000000001]"
24,1558680738.824862,"[-0.3678674999999998, 0.5052425, 1.0943275]"
25,1558680738.864921,"[-0.12286749999999977, 0.5052425, 0.9193274999999997]"
# autosave took 0.007928
#### 0739.923968 autosave nr 2
26,1558680738.90486,"[-0.15786749999999977, 9.5352425, -1.7056725000000001]"
27,1558680738.945385,"[-0.2978674999999998, 0.47024250000000006, 1.1643275]"
28,1558680738.984958,"[-0.12286749999999977, 0.4352425000000001, 0.25432749999999976]"
29,1558680739.025189,"[-0.4728674999999998, 0.33024250000000005, -1.9856725000000002]"
30,1558680739.064913,"[-0.15786749999999977, 0.5052425, 1.8293274999999998]"
31,1558680739.104862,"[-0.08786749999999977, 0.4352425000000001, -0.6556725000000002]"
32,1558680739.147177,"[-0.22786749999999978, 0.5402425000000001, -0.16567250000000025]"
33,1558680739.184919,"[-0.2978674999999998, 0.40024250000000006, 1.1643275]"
34,1558680739.224918,"[0.4021325000000002, 0.47024250000000006, -0.37567250000000024]"
35,1558680739.264923,"[-0.12286749999999977, 0.2952425000000001, -1.2506725]"
36,1558680739.304861,"[-0.017867499999999766, 0.26024250000000004, 2.6343275]"
37,1558680739.347761,"[-0.12286749999999977, 0.47024250000000006, -2.3706725]"
38,1558680739.384895,"[-0.22786749999999978, 0.47024250000000006, -0.30567250000000024]"
39,1558680739.424909,"[0.08713250000000024, 0.08524250000000004, 2.0743275]"
40,1558680739.464919,"[-0.2978674999999998, 0.40024250000000006, -3.0006725000000003]"
41,1558680739.504852,"[-0.2978674999999998, 0.4352425000000001, 1.3043274999999999]"
42,1558680739.548338,"[-0.3678674999999998, 0.5752425000000001, 0.35932749999999974]"
43,1558680739.584855,"[-0.19286749999999978, 0.47024250000000006, -2.4056725]"
44,1558680739.624864,"[-0.05286749999999976, 0.4352425000000001, 2.8443275]"
45,1558680739.664918,"[-0.26286749999999975, 0.6102425, -0.20067250000000025]"
46,1558680739.704848,"[-0.5778674999999998, 1.0302425000000002, -1.8456725]"
47,1558680739.744878,"[-0.19286749999999978, 0.5402425000000001, 3.2643275]"
48,1558680739.788443,"[0.017132500000000234, 0.26024250000000004, -1.8106725000000001]"
49,1558680739.824899,"[-0.08786749999999977, 0.6102425, -1.0056725000000002]"
50,1558680739.864872,"[-0.3678674999999998, -8.349757499999999, 2.1443274999999997]"
# autosave took 0.027421
#### 0740.923968 autosave nr 3
51,1558680739.904855,"[-0.017867499999999766, 0.15524250000000003, -2.0206725000000003]"
52,1558680739.959308,"[-0.017867499999999766, 0.5052425, 2.4243275]"
53,1558680739.984949,"[-0.19286749999999978, 0.26024250000000004, 0.8143274999999998]"
54,1558680740.025175,"[-0.12286749999999977, 0.3652425000000001, -1.9506725]"
55,1558680740.064883,"[-0.2978674999999998, 0.5752425000000001, 1.7943274999999999]"
56,1558680740.104854,"[-0.4728674999999998, 0.40024250000000006, -1.0056725000000002]"
57,1558680740.14488,"[-0.08786749999999977, 0.47024250000000006, -0.5856725000000003]"
58,1558680740.184926,"[-0.2978674999999998, 0.47024250000000006, 1.6543275]"
59,1558680740.224906,"[0.12213250000000024, -0.054757499999999966, -1.5306725]"
60,1558680740.264885,"[-0.12286749999999977, 0.4352425000000001, -0.16567250000000025]"
61,1558680740.304852,"[0.19213250000000023, 9.0452425, 1.7243274999999998]"
62,1558680740.344881,"[-0.33286749999999976, 0.33024250000000005, -2.4756725]"
63,1558680740.38492,"[-0.26286749999999975, 0.5402425000000001, 1.7593275]"
64,1558680740.424906,"[-0.08786749999999977, 0.19024250000000004, 0.04432749999999977]"
65,1558680740.464894,"[-0.15786749999999977, 0.47024250000000006, -1.9156725000000001]"
66,1558680740.504841,"[-0.33286749999999976, 0.7852425000000001, 2.5293275]"
67,1558680740.544882,"[-0.19286749999999978, 0.4352425000000001, -0.9356725000000002]"
68,1558680740.584919,"[-0.19286749999999978, 0.3652425000000001, -0.9356725000000002]"
69,1558680740.624909,"[-0.3678674999999998, 0.26024250000000004, 1.6193274999999998]"
70,1558680740.664899,"[-0.12286749999999977, 0.4352425000000001, -1.7756725000000002]"
71,1558680740.704836,"[-0.22786749999999978, 0.7852425000000001, 0.8843274999999997]"
72,1558680740.744848,"[-0.22786749999999978, 0.4352425000000001, -0.025672500000000226]"
73,1558680740.784889,"[-0.12286749999999977, 0.5402425000000001, -0.9006725000000002]"
74,1558680740.824864,"[-0.33286749999999976, -8.2097575, 0.32432749999999977]"
75,1558680740.864893,"[-0.2978674999999998, 0.3652425000000001, 0.6043274999999998]"
# autosave took 0.021382
#### 0741.923968 autosave nr 4
76,1558680740.904836,"[-0.19286749999999978, 9.3252425, -0.8656725000000003]"
77,1558680740.946024,"[-0.05286749999999976, 0.5052425, 0.7793274999999997]"
78,1558680740.984961,"[-0.4728674999999998, 0.5752425000000001, -0.23567250000000023]"
79,1558680741.025186,"[-0.08786749999999977, 0.47024250000000006, -0.5506725000000002]"
80,1558680741.064894,"[-0.2978674999999998, 0.4352425000000001, 0.5343274999999997]"
81,1558680741.104856,"[-0.3678674999999998, 0.7502425, -0.23567250000000023]"
82,1558680741.145152,"[-0.22786749999999978, 0.33024250000000005, -0.16567250000000025]"
83,1558680741.184923,"[-0.15786749999999977, 0.26024250000000004, 0.49932749999999976]"
84,1558680741.224919,"[-0.017867499999999766, 0.5752425000000001, -1.0056725000000002]"
85,1558680741.264884,"[-0.15786749999999977, 0.6102425, 0.28932749999999974]"
86,1558680741.304851,"[-0.8578674999999997, 1.4502425, 0.7093274999999998]"
87,1558680741.344869,"[-0.19286749999999978, 0.26024250000000004, -0.5856725000000003]"
88,1558680741.384925,"[-0.12286749999999977, 0.2952425000000001, -0.6206725000000003]"
89,1558680741.424905,"[0.08713250000000024, -0.019757499999999963, 0.6393274999999997]"
90,1558680741.464893,"[-0.15786749999999977, 0.6102425, -0.5856725000000003]"
91,1558680741.504849,"[-0.19286749999999978, 0.6452425, -0.025672500000000226]"
92,1558680741.544857,"[-0.12286749999999977, 0.4352425000000001, 0.3943274999999998]"
93,1558680741.584925,"[-0.19286749999999978, 0.5052425, -0.5506725000000002]"
94,1558680741.624901,"[-0.26286749999999975, 0.47024250000000006, 0.009327499999999773]"
95,1558680741.664896,"[-0.15786749999999977, 0.5402425000000001, 0.32432749999999977]"
96,1558680741.704845,"[-0.08786749999999977, 0.5052425, -1.4256725000000001]"
97,1558680741.744885,"[-0.22786749999999978, 0.4352425000000001, 1.1643275]"
98,1558680741.784896,"[-0.26286749999999975, 0.26024250000000004, -0.5856725000000003]"
99,1558680741.824874,"[-0.05286749999999976, 0.26024250000000004, -0.060672500000000226]"
100,1558680741.865052,"[-0.19286749999999978, 0.47024250000000006, -0.20067250000000025]"
# autosave took 0.014325
#### 0742.923968 autosave nr 5
101,1558680741.904848,"[-0.12286749999999977, 0.5752425000000001, 0.18432749999999976]"
102,1558680741.944889,"[-0.08786749999999977, -8.349757499999999, -0.27067250000000026]"
103,1558680741.984927,"[-0.12286749999999977, 0.47024250000000006, 0.3943274999999998]"
104,1558680742.025184,"[0.017132500000000234, 0.33024250000000005, -0.6206725000000003]"
105,1558680742.065666,"[-0.22786749999999978, 0.4352425000000001, -0.23567250000000023]"
106,1558680742.104883,"[-0.08786749999999977, 0.15524250000000003, 0.18432749999999976]"
107,1558680742.144886,"[-0.15786749999999977, 0.5752425000000001, 0.7093274999999998]"
108,1558680742.184913,"[-0.08786749999999977, 0.47024250000000006, -1.1106725000000002]"
109,1558680742.224902,"[0.052132500000000234, 0.2952425000000001, 1.0243274999999998]"
110,1558680742.266771,"[-0.22786749999999978, 0.33024250000000005, -1.3556725]"
111,1558680742.304847,"[0.052132500000000234, 0.26024250000000004, 0.7793274999999997]"
112,1558680742.345229,"[-0.22786749999999978, 0.47024250000000006, 0.07932749999999977]"
113,1558680742.384948,"[-0.08786749999999977, 0.26024250000000004, -1.9856725000000002]"
114,1558680742.425184,"[-0.15786749999999977, 0.5052425, 1.5493275]"
115,1558680742.466498,"[-0.26286749999999975, 0.4352425000000001, -0.09567250000000023]"
116,1558680742.504796,"[-0.5078674999999998, 0.7502425, -2.3006725]"
117,1558680742.544802,"[-0.22786749999999978, 0.22524250000000004, 2.8443275]"
118,1558680742.584848,"[-0.08786749999999977, 0.4352425000000001, -0.7956725000000002]"
