#### 0738.921837 autosave nr 1
1,1558680737.898025,"[-1366, -471, 8203]"
2,1558680737.998302,"[-1367, -492, 8144]"
3,1558680738.098271,"[-1424, -471, 8099]"
4,1558680738.198293,"[-1367, -471, 8151]"
5,1558680738.298273,"[-1449, -386, 8165]"
6,1558680738.398298,"[-1359, -372, 8174]"
7,1558680738.498278,"[-1352, -409, 8140]"
8,1558680738.598285,"[-1413, -358, 8126]"
9,1558680738.698297,"[-1319, -379, 8158]"
10,1558680738.798278,"[-1462, -428, 8108]"
# autosave took 0.017516
#### 0739.921837 autosave nr 2
11,1558680738.898289,"[-1309, -495, 8431]"
12,1558680738.998296,"[-1327, -522, 8164]"
13,1558680739.098263,"[-1067, -552, 8149]"
14,1558680739.19829,"[-1356, -490, 8140]"
15,1558680739.298261,"[-1438, -751, 8166]"
16,1558680739.398283,"[-1369, -385, 8154]"
17,1558680739.498251,"[-1519, -330, 8143]"
18,1558680739.598292,"[-1363, -268, 8101]"
19,1558680739.698256,"[-1488, -507, 8162]"
20,1558680739.798937,"[-1354, -436, 8111]"
# autosave took 0.006375
#### 0740.921837 autosave nr 3
21,1558680739.898297,"[-1322, -523, 8146]"
22,1558680739.998298,"[-1291, -603, 8162]"
23,1558680740.098407,"[-1236, -549, 8175]"
24,1558680740.198295,"[-1456, -510, 8102]"
25,1558680740.298323,"[-1218, -565, 8170]"
26,1558680740.398384,"[-1440, -413, 8144]"
27,1558680740.498328,"[-1468, -498, 8132]"
28,1558680740.598295,"[-1497, -421, 8148]"
29,1558680740.698276,"[-1479, -440, 8129]"
30,1558680740.798294,"[-1528, -432, 8162]"
# autosave took 0.004989
#### 0741.921837 autosave nr 4
31,1558680740.89832,"[-1439, -491, 8164]"
32,1558680740.998298,"[-1286, -491, 8227]"
33,1558680741.098319,"[-1377, -513, 8136]"
34,1558680741.198292,"[-1310, -514, 8188]"
35,1558680741.298315,"[-1341, -469, 8144]"
36,1558680741.398295,"[-1463, -453, 8166]"
37,1558680741.498319,"[-1371, -462, 8423]"
38,1558680741.598304,"[-1467, -467, 8202]"
39,1558680741.698292,"[-1360, -485, 8161]"
40,1558680741.798291,"[-1431, -471, 8093]"
# autosave took 0.008026
#### 0742.921837 autosave nr 5
41,1558680741.898316,"[-1331, -507, 8141]"
42,1558680741.998406,"[-1398, -519, 8159]"
43,1558680742.098277,"[-1329, -458, 8201]"
44,1558680742.198294,"[-1382, -462, 8111]"
45,1558680742.298272,"[-1471, -405, 8153]"
46,1558680742.39843,"[-1394, -401, 8083]"
47,1558680742.498276,"[-1432, -462, 8154]"
48,1558680742.598256,"[-1277, -557, 8162]"
49,1558680742.698256,"[-1361, -508, 8141]"
50,1558680742.798218,"[-1321, -535, 8202]"
# autosave took 0.004451
#### 0743.921837 autosave nr 6
51,1558680742.898258,"[-1343, -567, 8161]"
52,1558680742.998255,"[-1344, -574, 8393]"
53,1558680743.09825,"[-1280, -547, 8183]"
54,1558680743.198276,"[-1405, -493, 8190]"
55,1558680743.298278,"[-1273, -519, 8144]"
56,1558680743.398298,"[-1401, -452, 8137]"
57,1558680743.498278,"[-1331, -494, 8169]"
58,1558680743.598294,"[-1396, -451, 8115]"
59,1558680743.698281,"[-1393, -441, 8180]"
60,1558680743.798293,"[-1394, -395, 7961]"
# autosave took 0.004858
#### 0744.921837 autosave nr 7
61,1558680743.898272,"[-1467, -426, 8168]"
62,1558680743.998291,"[-1370, -476, 8126]"
63,1558680744.098272,"[-1434, -506, 8066]"
64,1558680744.198286,"[-1379, -546, 8138]"
65,1558680744.298315,"[-1470, -423, 8111]"
66,1558680744.398288,"[-1338, -473, 8120]"
67,1558680744.498319,"[-1306, -519, 8197]"
68,1558680744.598292,"[-1313, -500, 8168]"
69,1558680744.698316,"[-1285, -553, 8171]"
70,1558680744.801602,"[-1290, -472, 8117]"
# autosave took 0.032575
#### 0745.921837 autosave nr 8
71,1558680744.898308,"[-1346, -517, 8150]"
72,1558680744.998299,"[-1395, -267, 8200]"
73,1558680745.098268,"[-1335, -498, 8158]"
74,1558680745.198293,"[-1420, -568, 8153]"
75,1558680745.298271,"[-1366, -759, 8223]"
76,1558680745.39829,"[-1535, -550, 8178]"
77,1558680745.498276,"[-1348, -487, 8109]"
78,1558680745.598293,"[-1362, -501, 8182]"
79,1558680745.69828,"[-1441, -443, 8179]"
80,1558680745.798294,"[-1319, -476, 8094]"
# autosave took 0.006890
#### 0746.921837 autosave nr 9
